scene_path,scene_token,expected_ids,num_detected,all_predicted_ids,true_positives,false_positives,precision,recall,error
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_00.JPG,AB,"['A', 'B']",1,[np.str_('I')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_01.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_02.JPG,AB,"['A', 'B']",1,[np.str_('I')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_03.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_04.JPG,AB,"['A', 'B']",1,[np.str_('I')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_05.JPG,AB,"['A', 'B']",1,[np.str_('I')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_06.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_07.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_08.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_09.JPG,AB,"['A', 'B']",1,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_10.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_11.JPG,AB,"['A', 'B']",2,"[np.str_('A'), np.str_('B')]",2,0,1.0,1.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_12.JPG,AB,"['A', 'B']",2,[np.str_('A')],1,0,1.0,0.5,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_13.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_14.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_15.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_16.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_17.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_18.JPG,AB,"['A', 'B']",3,[np.str_('I')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_19.JPG,AB,"['A', 'B']",3,[np.str_('F')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_20.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_21.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_22.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_23.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_24.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_25.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_26.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_27.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_28.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_29.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_0_eo_30.JPG,AB,"['A', 'B']",2,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_00.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_01.JPG,AB,"['A', 'B']",2,[np.str_('I')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_02.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_03.JPG,AB,"['A', 'B']",1,[np.str_('I')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_04.JPG,AB,"['A', 'B']",1,[np.str_('I')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_05.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_06.JPG,AB,"['A', 'B']",1,[np.str_('E')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_07.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_08.JPG,AB,"['A', 'B']",1,[np.str_('K')],0,1,0.0,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_09.JPG,AB,"['A', 'B']",0,[],0,0,,0.0,
/Users/shamiul/Documents/GitHub/AI-Computer-Vision-Project/open_data_set/photos_all/ab_gp_3_eo_10.JPG,AB,"['A', 'B']",1,[np.str_('K')],0,1,0.0,0.0,
